ID,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,socialgrade_matrix,education_age,profile_education_level,pvbyregion_w8,bpcagegeneduc_w8,Socgrade_matrix_w8,threeway_attention_w8,respdate,W8
1,1,1,9,11,3,3,8,2,99,1,2,2,2,2,2,2,1,3,44,1,5,1,1,4,1,2,1,4,5,16,21,5,3,2,5/7/2016,1.07379250131111
2,9,2,9,11,3,3,8,2,99,1,2,2,2,2,2,3,1,2,60,1,2,2,2,4,21,7,1,2,4,15,20,12,1,2,4/30/2016,.950169647362282
3,4,2,9,11,1,2,9,1,7,3,2,2,2,1,3,3,1,1,70,1,6,7,2,1,21,8,2,3,3,9,1,10,2,3,4/29/2016,.835696540295869
4,1,1,9,11,3,2,1,2,99,7,2,1,2,1,1,5,1,1,79,1,6,7,1,1,22,4,2,6,2,1,1,1,4,1,5/9/2016,1.23550513358533
5,2,1,9,11,4,3,6,1,4,1,2,2,2,2,4,4,1,2,46,4,1,3,2,2,24,6,1,3,3,11,8,15,2,2,5/11/2016,.895796511399338
6,1,2,9,11,1,2,7,1,7,1,2,2,2,2,1,1,1,1,68,1,6,3,2,6,22,8,1,3,2,9,30,10,2,2,5/5/2016,.700789451171023
7,1,2,9,11,3,3,6,2,99,1,2,2,2,2,1,1,1,1,47,2,1,2,1,4,22,2,1,1,3,5,19,7,1,2,5/3/2016,1.06176227888912
8,3,1,9,11,3,4,9,1,5,1,2,2,2,2,1,3,1,3,38,2,1,1,1,1,2,2,1,2,5,17,3,5,1,3,5/7/2016,.901932746277908
9,2,1,9,11,1,3,10,1,5,7,2,2,2,2,4,2,1,2,58,1,2,1,2,3,1,7,1,2,5,17,14,11,1,3,5/3/2016,1.01891476837507
10,9,1,9,6,3,3,2,2,99,7,2,2,2,2,1,1,1,6,51,1,1,2,1,1,22,3,1,3,2,5,4,4,2,1,5/1/2016,1.21969274342555
