ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3913,1,1,2, ,11,1,3,6,1,1,2,2,1,2,1, ,4,1,9,76,7,6,2,2,3,11,8,1, , , ,17,10,1,2,5/7/2016,.266450077363908
3530,1,7,3,3,6,1,2,6,1,13,2,1,1,1,1, ,4,1,6,29,3,3,1,2,4,2,6,1,13,1, ,22,16,1,2,5/10/2016,.726617124997725
3356,1,8,3,3,11,1,2,7,2, ,1,2,2,2,2, ,2,1,1,94,1,6,3,2,1,10,8,1,14,1, ,1,10,1,2,5/4/2016,.987820050479254
3658,1,1,2, ,11,1,2,11,1,7,1,2,2,2,2, ,4,1,1,90,1,6,3,2,1,6,8,1,14,1, ,1,10,1,3,5/9/2016,.549106226004665
3240,1,2,3,3,6,3,1,1,1,9,1,2,2,2,2, ,5,1,2,86,1,6,3,2,1,6,8,1,14,1, ,2,10,1,1,5/9/2016,1.30143527165548
3781,1,2,1, ,11,4,3,9,3, ,1,2,2,2,2, ,5,1,2,86,1,6,3,2,1,2,8,1,14,1, ,2,10,1,3,5/5/2016,.428614926419335
3905,1,8,3,3,8,4,3,6,2, ,6,2,2,2,2, ,5,1,9,83,7,6,1,2,1,11,8,1,14,1, ,5,10,1,2,5/9/2016,.291609449270678
3338,1,4,1, ,9,1,2,6,1,16,1,1,1,2,1, ,5,2, ,74,3,6,4,2,1,6,8,1,14,1, ,6,10,1,2,5/4/2016,1.05366752594473
3694,1,1,1, ,1,1,4,11,1,7,5,2,1,2,2, ,5,2, ,93,1,6,9,2,1,6,8,2,14,1, ,6,10,2,3,5/9/2016,.497825891676282
3452,1,2,1, ,9,3,3,8,2, ,2,2,2,2,2, ,4,1,2,51,1,2,7,2,2,2,7,2,14,1, ,8,13,2,2,5/11/2016,.829210433182666
3576,1,1,2, ,11,4,2,6,2, ,2,2,1,2,1, ,4,1,1,84,1,6,8,2,3,1,8,2,14,1, ,13,10,2,2,5/5/2016,.66087693810946
3760,1,1,3,1,11,3,2,11,2, ,1,1,2,2,2, ,3,1,1,89,1,6,4,2,3,1,8,1,14,1, ,13,10,1,3,5/5/2016,.432218919936593
3767,1,3,2, ,11,1,2,9,1,7,1,2,2,2,2, ,5,1,1,84,1,6,3,2,3,6,8,1,14,1, ,13,10,1,3,5/5/2016,.432218919936593
3786,1,1,2, ,11,1,2,11,1,1,1,2,2,2,2, ,3,1,1,83,5,6,5,1,3,11,4,2,14,1, ,13,1,2,3,5/7/2016,.416658939754357
3790,1,4,2, ,11,1,3,9,2, ,4,2,2,2,2, ,4,1,1,80,4,6,6,1,3,7,4,2,14,1, ,13,1,2,3,5/5/2016,.416658939754357
3540,1,2,3,3,8,1,2,8,2, ,1,2,2,2,2, ,1,1,2,82,1,6,7,1,3,3,4,2,14,1, ,14,1,2,2,5/5/2016,.706611965639178
3606,1,2,1, ,11,1,2,6,2, ,2,2,2,2,2, ,3,1,2,74,3,6,5,2,3,2,8,2,14,1, ,14,10,2,2,5/5/2016,.62301630237414
3607,1,2,1, ,10,3,1,5,1,9,1,2,2,2,1, ,4,1,2,87,1,6,9,2,3,7,8,2,14,1, ,14,10,2,2,5/7/2016,.62301630237414
3730,1,2,2, ,11,1,2,11,1,7,1,1,1,1,1, ,3,1,2,84,3,6,4,1,3,6,4,1,14,1, ,14,1,1,3,5/5/2016,.462130001807165
3732,1,2,1, ,11,3,1,11,1,9,1,2,1,2,1, ,4,1,2,91,1,6,1,1,3,6,4,1,14,1, ,14,1,1,3,5/5/2016,.462130001807165
3846,1,2,1, ,11,1,2,9,1,9,4,2,2,2,2, ,4,1,2,89,1,6,7,2,3,5,8,2,14,1, ,14,10,2,3,5/5/2016,.346320294237873
3303,1,2,1, ,11,1,3,7,2, ,1,2,2,2,2, ,1,1,3,84,1,6,6,1,3,2,4,2,14,1, ,15,1,2,2,5/5/2016,1.11267582822827
3295,1,4,2, ,11,1,2,8,1,12,1,2,2,2,2, ,4,1,6,68,3,6,5,1,3,2,4,2,14,1, ,16,1,2,2,5/5/2016,1.11802107796874
3662,1,4,2, ,11,1,3,11,1,1,1,2,1,2,1, ,5,1,6,84,3,6,7,2,3,5,8,2,14,1, ,16,10,2,3,5/5/2016,.547957588484982
3663,1,4,2, ,11,1,2,11,2, ,2,1,1,2,1, ,5,1,6,83,3,6,7,2,3,6,8,2,14,1, ,16,10,2,3,5/5/2016,.547957588484982
