Title,Print,Website,Combined
The Sun,12400,1076,13476
Daily Mail,9521,2449,11970
Metro,7458,389,7847
Daily Mirror,6762,1123,7885
The Guardian,2781,2475,5257
The Daily Telegraph,3051,1848,4899
The Times,4347,178,4525
London Evening Standard,3471,272,3743
The Independent,2607,1056,3662
Daily Express,2683,291,2974
Daily Star,2774,151,2924
Daily Record,1503,188,1691
Financial Times,892,334,1226
The Scotsman,334,201,535
The Herald,296,136,432
Yorkshire Post,287,62,349
Glasgow Evening Times,214,49,263
