Area code,Area name,,,All categories: Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
K04000001,ENGLAND AND WALES,,,"17,266,580",0.227,0.308,0.208,0.257
E92000001,ENGLAND,,,"16,339,853",0.23,0.309,0.206,0.255
E12000001,NORTH EAST,,,"824,152",0.166,0.296,0.217,0.32
E12000002,NORTH WEST ,,,"2,222,061",0.193,0.303,0.207,0.297
E12000003,YORKSHIRE AND THE HUMBER,,,"1,640,564",0.188,0.293,0.223,0.296
E12000004,EAST MIDLANDS,,,"1,388,908",0.2,0.295,0.226,0.279
E12000005,WEST MIDLANDS,,,"1,672,309",0.194,0.29,0.223,0.293
E12000006,EAST,,,"1,752,523",0.236,0.316,0.22,0.228
E12000007,LONDON,,,"2,658,570",0.295,0.33,0.151,0.224
E12000008,SOUTH EAST,,,"2,592,064",0.276,0.324,0.202,0.199
E12000009,SOUTH WEST,,,"1,588,702",0.229,0.308,0.231,0.232
W92000004,WALES,,,"926,727",0.179,0.293,0.231,0.297
